name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hoylesella buccalis	28127	S	102	69	171	0.00001
Xylanibacter ruminicola	839	S	164	32	196	0.00002
Muribaculum gordoncarteri	2530390	S	2848	165	3013	0.00023
Muribaculum intestinale	1796646	S	127	4	131	0.00001
Duncaniella dubosii	2518971	S	203	34	237	0.00002
Sodaliphilus pleomorphus	2606626	S	140	6	146	0.00001
Paramuribaculum intestinale	2094151	S	97	4	101	0.00001
Porphyromonas gingivalis	837	S	228	43	271	0.00002
Porphyromonas crevioricanis	393921	S	90	11	101	0.00001
Porphyromonas endodontalis	28124	S	36	4	40	0.00000
Porphyromonas pogonae	867595	S	19	1	20	0.00000
Porphyromonas sp. oral taxon 275	712435	S	15	0	15	0.00000
Porphyromonas asaccharolytica	28123	S	12	2	14	0.00000
Porphyromonas somerae	322095	S	10	2	12	0.00000
Proteiniphilum propionicum	2829812	S	149	3	152	0.00001
Proteiniphilum saccharofermentans	1642647	S	89	1	90	0.00001
Petrimonas sp.	2023866	S	39	0	39	0.00000
Petrimonas mucosa	1642646	S	31	1	32	0.00000
Dysgonomonas capnocytophagoides	45254	S	54	1	55	0.00000
Limibacterium fermenti	3229863	S	36	0	36	0.00000
Paludibacter propionicigenes	185300	S	23	0	23	0.00000
Tenuifilum thalassicum	2590900	S	13	0	13	0.00000
Xiashengella succiniciproducens	2949635	S	66	1	67	0.00001
Alkalitalea saponilacus	889453	S	18	0	18	0.00000
uncultured Draconibacterium sp.	1573823	S	28	1	29	0.00000
Draconibacterium halophilum	2706887	S	14	0	14	0.00000
Mangrovibacterium marinum	1639118	S	19	0	19	0.00000
Labilibaculum antarcticum	1717717	S	24	0	24	0.00000
Labilibaculum sp.	2060723	S	16	0	16	0.00000
Marinifilum fragile	570161	S	14	0	14	0.00000
Chryseobacterium gallinarum	1324352	S	691	98	789	0.00006
Chryseobacterium suipulveris	2929800	S	85	12	97	0.00001
Chryseobacterium sp. POL2	2713414	S	28	5	33	0.00000
Chryseobacterium sp.	1871047	S	11	1	12	0.00000
Chryseobacterium sp. 3008163	2478663	S	11	2	13	0.00000
Chryseobacterium camelliae	1265445	S	17	2	19	0.00000
Chryseobacterium aureum	2497456	S	11	2	13	0.00000
Chryseobacterium glaciei	1685010	S	10	1	11	0.00000
Chryseobacterium arthrosphaerae	651561	S	10	2	12	0.00000
Kaistella sp. 97-N-M2	2908645	S	29	0	29	0.00000
Riemerella anatipestifer	34085	S	14	1	15	0.00000
Flavobacterium sp. N1719	2885633	S	25	5	30	0.00000
Flavobacterium sp. YJ01	3031997	S	21	90	111	0.00001
Flavobacterium arcticum	1784713	S	57	16	73	0.00001
Flavobacterium gilvum	1492737	S	24	12	36	0.00000
Flavobacterium faecale	1355330	S	12	7	19	0.00000
Flavobacterium mekongense	3379707	S	10	3	13	0.00000
Capnocytophaga granulosa	45242	S	63	7	70	0.00001
Capnocytophaga sputigena	1019	S	27	21	48	0.00000
Capnocytophaga haemolytica	45243	S	19	1	20	0.00000
Flagellimonas lutaonensis	516051	S	32	26	58	0.00000
Abyssalbus ytuae	2926907	S	49	6	55	0.00000
Myroides fluvii	2572594	S	19	18	37	0.00000
Polaribacter pacificus	1775173	S	26	11	37	0.00000
Polaribacter vadi	1774273	S	10	5	15	0.00000
Winogradskyella sp.	1883156	S	25	4	29	0.00000
Zobellia alginiliquefaciens	3032586	S	24	7	31	0.00000
Lutibacter sp. A64	2918526	S	21	10	31	0.00000
Tenacibaculum insulae	2029677	S	10	9	19	0.00000
Daejeonia sp. YH14	3439042	S	11	2	13	0.00000
Sanyastnella coralliicola	3069118	S	42	0	42	0.00000
Parvicella tangerina	2829795	S	32	0	32	0.00000
Blattabacterium cuenoti	1653831	S	13	2	15	0.00000
Hymenobacter volaticus	2932254	S	58	9	67	0.00001
Hymenobacter jejuensis	2502781	S	52	7	59	0.00000
Hymenobacter monticola	1705399	S	47	16	63	0.00000
Hymenobacter baengnokdamensis	2615203	S	40	52	92	0.00001
Pontibacter actiniarum	323450	S	32	2	34	0.00000
Pontibacter akesuensis	388950	S	32	1	33	0.00000
Pontibacter sp. SGAir0037	2571030	S	18	1	19	0.00000
Pontibacter sp. G13	3074898	S	11	0	11	0.00000
Pontibacter kalidii	2592049	S	16	1	17	0.00000
Adhaeribacter swui	2086471	S	91	4	95	0.00001
Dyadobacter sp. NIV53	2861765	S	27	0	27	0.00000
Dyadobacter sp. 32	538966	S	23	0	23	0.00000
Dyadobacter sp. 676	3088362	S	10	0	10	0.00000
Runella slithyformis	106	S	20	1	21	0.00000
Tellurirhabdus rosea	2674997	S	14	2	16	0.00000
Leadbetterella byssophila	316068	S	88	6	94	0.00001
Emticicia sp. 21SJ11W-3	2916755	S	12	0	12	0.00000
Spirosoma sp. KCTC 42546	2520506	S	22	1	23	0.00000
Spirosoma sp. SC4-14	3128900	S	22	1	23	0.00000
Spirosoma montaniterrae	1178516	S	20	2	22	0.00000
Spirosoma rhododendri	2728024	S	16	2	18	0.00000
Spirosoma endbachense	2666025	S	10	1	11	0.00000
Algoriphagus sp. NBT04N3	2705473	S	18	1	19	0.00000
Echinicola vietnamensis	390884	S	20	1	21	0.00000
Mongoliitalea daihaiensis	2782006	S	11	0	11	0.00000
Aquirufa lenticrescens	2696560	S	35	3	38	0.00000
Imperialibacter roseus	1324217	S	13	1	14	0.00000
Sphingobacterium puteale	2420510	S	48	17	65	0.00001
Sphingobacterium lactis	797291	S	25	3	28	0.00000
Sphingobacterium spiritivorum	258	S	16	3	19	0.00000
Mucilaginibacter sp. CSA2-8R	3141542	S	18	5	23	0.00000
Mucilaginibacter sp. E4BP6	2723089	S	15	8	23	0.00000
Mucilaginibacter ginsenosidivorans	398053	S	37	4	41	0.00000
Mucilaginibacter yixingensis	1295612	S	18	3	21	0.00000
Mucilaginibacter daejeonensis	398049	S	10	1	11	0.00000
Pedobacter sp. KLB.chiD	3387402	S	19	3	22	0.00000
Pedobacter roseus	336820	S	10	1	11	0.00000
Pseudopedobacter saltans	151895	S	24	4	28	0.00000
Solitalea canadensis	995	S	15	1	16	0.00000
Chitinophaga horti	2920382	S	11	23	34	0.00000
Flavisolibacter tropicus	1492898	S	45	1	46	0.00000
Flavisolibacter ginsenosidimutans	661481	S	22	0	22	0.00000
Puia sp. P3	3423952	S	36	0	36	0.00000
Arachidicoccus soli	2341117	S	22	0	22	0.00000
Niabella yanshanensis	577386	S	14	1	15	0.00000
Pseudobacter ginsenosidimutans	661488	S	16	0	16	0.00000
Flavihumibacter rivuli	2838156	S	13	0	13	0.00000
Saprospira sp. CCB-QB6	3023936	S	19	0	19	0.00000
Candidatus Sulfidibacterium hydrothermale	2875962	S	12	0	12	0.00000
Chlorobium phaeobacteroides	1096	S	28	4	32	0.00000
Prosthecochloris sp. GSB1	281093	S	11	1	12	0.00000
Rhodocaloribacter litoris	2558931	S	29	0	29	0.00000
Candidatus Palauibacter sp.	3101350	S	12	1	13	0.00000
Fibrobacter succinogenes	833	S	15	0	15	0.00000
Akkermansia muciniphila	239935	S	1071114	55284	1126398	0.08756
Akkermansia massiliensis	2927224	S	219	650	869	0.00007
Akkermansia sp. AE01SA01	3115151	S	60	113	173	0.00001
Akkermansia sp. RCC_12PD	3115152	S	36	65	101	0.00001
Akkermansia sp. JRP_AM1	3414159	S	18	283	301	0.00002
Akkermansia biwaensis	2946555	S	15	3	18	0.00000
Actomonas aquatica	2866162	S	27	0	27	0.00000
Horticoccus luteus	2862869	S	10	0	10	0.00000
Rubellicoccus peritrichatus	3080537	S	28	0	28	0.00000
Candidatus Pelagisphaera phototrophica	2684113	S	12	0	12	0.00000
Methylacidimicrobium sp. AP8	2730359	S	37	0	37	0.00000
Planctopirus limnophila	120	S	52	1	53	0.00000
Botrimarina mediterranea	2528022	S	35	1	36	0.00000
Singulisphaera sp. Ch08	3120278	S	15	0	15	0.00000
Saltatorellus ferox	2528018	S	14	0	14	0.00000
Tichowtungia aerotolerans	2697043	S	11	0	11	0.00000
Escherichia coli	562	S	869	7393	8262	0.00064
Escherichia albertii	208962	S	17	5	22	0.00000
Enterobacter sp. ECC-175	3116479	S	49	23	72	0.00001
Enterobacter cloacae	550	S	13	21	34	0.00000
Enterobacter hormaechei	158836	S	12	272	284	0.00002
Klebsiella oxytoca	571	S	11	62	73	0.00001
Citrobacter portucalensis	1639133	S	10	42	52	0.00000
Kluyvera ascorbata	51288	S	13	10	23	0.00000
Kluyvera intermedia	61648	S	13	3	16	0.00000
Serratia marcescens	615	S	20	83	103	0.00001
Serratia plymuthica	82996	S	13	6	19	0.00000
Rahnella sikkimica	1805933	S	24	3	27	0.00000
Yersinia hibernica	2339259	S	13	3	16	0.00000
Dickeya zeae	204042	S	29	22	51	0.00000
Pantoea sp. Lij88	3028622	S	13	5	18	0.00000
Pantoea sp. Z09	2886821	S	11	11	22	0.00000
Tatumella ptyseos	82987	S	20	1	21	0.00000
Morganella morganii	582	S	24	3	27	0.00000
Leminorella richardii	158841	S	11	0	11	0.00000
Haemophilus parainfluenzae	729	S	1177	310	1487	0.00012
Haemophilus parahaemolyticus	735	S	119	19	138	0.00001
Haemophilus haemolyticus	726	S	30	30	60	0.00000
Haemophilus influenzae	727	S	16	42	58	0.00000
Haemophilus sp. oral taxon 036	712310	S	15	17	32	0.00000
Aggregatibacter segnis	739	S	63	74	137	0.00001
Aggregatibacter sp. Marseille-P9115	2866570	S	16	18	34	0.00000
Aggregatibacter sp. oral taxon 513	712150	S	12	15	27	0.00000
Aggregatibacter sp. 2125159857	2820817	S	11	6	17	0.00000
Aggregatibacter aphrophilus	732	S	13	6	19	0.00000
Gallibacterium salpingitidis	505341	S	30	1	31	0.00000
Pseudomonas sp. MPDS	2762896	S	96	528	624	0.00005
Pseudomonas sp. 15A4	2804761	S	18	7	25	0.00000
Pseudomonas sp. AN-1	3096605	S	10	7	17	0.00000
Pseudomonas sp. B21-017	2895474	S	10	30	40	0.00000
Pseudomonas corrugata	47879	S	31	12	43	0.00000
Pseudomonas putida	303	S	37	86	123	0.00001
Pseudomonas lijiangensis	2995658	S	13	19	32	0.00000
Pseudomonas wenzhouensis	2906062	S	30	26	56	0.00000
Pseudomonas kulmbachensis	3043408	S	18	27	45	0.00000
Pseudomonas aeruginosa	287	S	12	80	92	0.00001
Pseudomonas arsenicoxydans	702115	S	10	3	13	0.00000
Halopseudomonas sp. SMJS2	3041098	S	50	10	60	0.00000
Halopseudomonas sabulinigri	472181	S	20	3	23	0.00000
Halopseudomonas litoralis	797277	S	19	5	24	0.00000
Halopseudomonas maritima	2918528	S	19	5	24	0.00000
Halopseudomonas nanhaiensis	2830842	S	11	2	13	0.00000
Stutzerimonas urumqiensis	638269	S	20	8	28	0.00000
Ectopseudomonas mendocina	300	S	13	12	25	0.00000
Marinobacter sp. NP-4(2019)	2488665	S	34	42	76	0.00001
Halomonas sp. 3H	2952527	S	30	36	66	0.00001
Halomonas sp. A40-4	2785909	S	24	15	39	0.00000
Halomonas sp. Y3	2956797	S	10	14	24	0.00000
Halomonas kashgarensis	3084920	S	11	2	13	0.00000
Halomonas alkaliantarctica	232346	S	11	6	17	0.00000
Halomonas binhaiensis	2562282	S	11	1	12	0.00000
Chromohalobacter israelensis	141390	S	28	22	50	0.00000
Pistricoccus aurantiacus	1883414	S	12	2	14	0.00000
Halotalea alkalilenta	376489	S	10	2	12	0.00000
Marinomonas profundi	2726122	S	26	4	30	0.00000
Marinomonas sp. FW-1	2071621	S	12	2	14	0.00000
Xanthomonas campestris	339	S	23	60	83	0.00001
Xanthomonas cassavae	56450	S	11	14	25	0.00000
Pseudoxanthomonas suwonensis	314722	S	29	42	71	0.00001
Stenotrophomonas maltophilia	40324	S	15	57	72	0.00001
Luteimonas sp. R10	3108176	S	10	9	19	0.00000
Luteibacter sp. Lutesp34	3243030	S	12	16	28	0.00000
Tahibacter amnicola	2976241	S	28	4	32	0.00000
Dyella sp. BiH032	3075430	S	13	4	17	0.00000
Shewanella dokdonensis	712036	S	23	98	121	0.00001
Pseudoalteromonas ruthenica	151081	S	21	4	25	0.00000
Psychrosphaera aestuarii	1266052	S	16	1	17	0.00000
Alteromonas sp. RKMC-009	2267264	S	10	2	12	0.00000
Thalassomonas viridans	137584	S	16	0	16	0.00000
Vibrio parahaemolyticus	670	S	21	149	170	0.00001
Methylomonas sp. LL1	2785785	S	55	29	84	0.00001
Methylomonas rapida	2963939	S	16	3	19	0.00000
Methyloprofundus sp.	2020875	S	17	0	17	0.00000
Microbulbifer thermotolerans	252514	S	25	3	28	0.00000
Microbulbifer hydrolyticus	48074	S	17	5	22	0.00000
Cellvibrio japonicus	155077	S	17	1	18	0.00000
Cellvibrio sp. PSBB006	1987723	S	12	0	12	0.00000
Aeromonas allosaccharophila	656	S	22	50	72	0.00001
Oceanimonas pelagia	3028314	S	12	15	27	0.00000
Pseudaeromonas aegiceratis	3153928	S	15	3	18	0.00000
Acinetobacter calcoaceticus	471	S	33	12	45	0.00000
Acinetobacter johnsonii	40214	S	14	13	27	0.00000
Candidatus Thiodictyon syntrophicum	1166950	S	19	3	22	0.00000
Acidihalobacter yilgarnensis	2819280	S	11	1	12	0.00000
Halothiobacillus diazotrophicus	1860122	S	14	3	17	0.00000
Cardiobacterium hominis	2718	S	43	9	52	0.00000
Candidatus Vondammii sp. HM_W22	2687299	S	13	0	13	0.00000
Gilliamella apis	1970738	S	10	0	10	0.00000
Sutterella megalosphaeroides	2494234	S	1321	1363	2684	0.00021
Sutterella wadsworthensis	40545	S	493	369	862	0.00007
Sutterella faecalis	2584944	S	249	218	467	0.00004
Duodenibacillus massiliensis	1852381	S	433	347	780	0.00006
Turicimonas muris	1796652	S	31	9	40	0.00000
Burkholderia multivorans	87883	S	20	152	172	0.00001
Paraburkholderia sacchari	159450	S	16	62	78	0.00001
Paraburkholderia caribensis	75105	S	15	70	85	0.00001
Polynucleobacter necessarius	576610	S	19	6	25	0.00000
Cupriavidus metallidurans	119219	S	16	79	95	0.00001
Ralstonia pickettii	329	S	17	83	100	0.00001
Trinickia caryophylli	28094	S	23	47	70	0.00001
Lautropia mirabilis	47671	S	18	25	43	0.00000
Variovorax sp. PBL-H6	434009	S	20	73	93	0.00001
Variovorax paradoxus	34073	S	20	109	129	0.00001
Comamonas flocculans	2597701	S	26	103	129	0.00001
Comamonas kerstersii	225992	S	10	19	29	0.00000
Paracidovorax cattleyae	80868	S	14	82	96	0.00001
Paracidovorax avenae	80867	S	10	59	69	0.00001
Rhodoferax saidenbachensis	1484693	S	11	16	27	0.00000
Acidovorax temperans	80878	S	11	40	51	0.00000
Ottowia sp. oral taxon 894	1658672	S	17	26	43	0.00000
Candidatus Symbiobacter mobilis	1436290	S	20	8	28	0.00000
Ramlibacter tataouinensis	94132	S	13	38	51	0.00000
Achromobacter xylosoxidans	85698	S	25	153	178	0.00001
Achromobacter denitrificans	32002	S	12	44	56	0.00000
Achromobacter pestifer	1353889	S	12	58	70	0.00001
Alcaligenes faecalis	511	S	26	40	66	0.00001
Castellaniella sp. MT123	3140381	S	26	37	63	0.00000
Pigmentiphaga litoralis	516702	S	11	12	23	0.00000
Pusillimonas sp. T7-7	1007105	S	11	8	19	0.00000
Duganella sp. P38	3423949	S	14	57	71	0.00001
Herbaspirillum rubrisubalbicans	80842	S	15	114	129	0.00001
Roseateles sp. SL47	2995138	S	21	44	65	0.00001
Roseateles sp. So40a	3400226	S	17	61	78	0.00001
Xylophilus rhododendri	2697032	S	12	46	58	0.00000
Xylophilus sp. GOD-11R	3089814	S	11	37	48	0.00000
Neisseria elongata	495	S	31	91	122	0.00001
Eikenella corrodens	539	S	35	72	107	0.00001
Eikenella halliae	1795832	S	12	30	42	0.00000
Paralysiella testudinis	2809020	S	14	13	27	0.00000
Uruburuella suis	252130	S	12	11	23	0.00000
Chitinibacter sp. S2-10	3373597	S	87	61	148	0.00001
Chitinibacter fontanus	1737446	S	15	8	23	0.00000
Silvimonas soli	2980100	S	23	17	40	0.00000
Jeongeupia wiesaeckerbachi	3051218	S	16	30	46	0.00000
Chromobacterium sp. CV08	3133274	S	15	43	58	0.00000
Chromobacterium amazonense	1382803	S	11	26	37	0.00000
Paludibacterium paludis	1225769	S	14	17	31	0.00000
Vogesella sp. LIG4	1192162	S	10	22	32	0.00000
Microvirgula aerodenitrificans	57480	S	25	44	69	0.00001
Nitrogeniibacter aestuarii	2815343	S	21	26	47	0.00000
Nitrogeniibacter mangrovi	2016596	S	17	36	53	0.00000
Azoarcus sp. CIB	198107	S	23	69	92	0.00001
Pseudazoarcus pumilus	2067960	S	17	39	56	0.00000
Thauera humireducens	1134435	S	11	32	43	0.00000
Azospira restricta	404405	S	12	58	70	0.00001
Aromatoleum aromaticum	551760	S	13	33	46	0.00000
Dechloromonas aquae	2664436	S	19	36	55	0.00000
Ferrigenium kumadai	1682490	S	13	30	43	0.00000
Sideroxydans sp. CL21	2600596	S	12	10	22	0.00000
Methylophilus sp. TWE2	1662285	S	18	9	27	0.00000
Methylobacillus flagellatus	405	S	11	10	21	0.00000
Sulfuritalea hydrogenivorans	748811	S	20	45	65	0.00001
Thiobacillus denitrificans	36861	S	16	32	48	0.00000
Sulfuricella denitrificans	649841	S	22	18	40	0.00000
Rhizobium sp. NXC24	2048897	S	13	60	73	0.00001
Rhizobium sp. 11515TR	2028343	S	11	15	26	0.00000
Agrobacterium tumefaciens	358	S	10	77	87	0.00001
Agrobacterium larrymoorei	160699	S	10	10	20	0.00000
Allorhizobium pseudoryzae	379684	S	13	19	32	0.00000
Candidatus Liberibacter solanacearum	556287	S	14	1	15	0.00000
Mesorhizobium sp. DCY119	2108445	S	72	87	159	0.00001
Mesorhizobium sp. AaZ16	3402289	S	14	14	28	0.00000
Mesorhizobium sp.	1871066	S	14	19	33	0.00000
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	11	25	36	0.00000
Mesorhizobium amorphae	71433	S	19	27	46	0.00000
Aminobacter sp. SR38	2774562	S	14	115	129	0.00001
Phyllobacterium sp. 628	2718938	S	25	12	37	0.00000
Bradyrhizobium sp. SK17	2057741	S	10	83	93	0.00001
Pseudorhodoplanes sinuspersici	1235591	S	124	72	196	0.00002
Devosia sp. XK-2	3126689	S	28	28	56	0.00000
Pelagibacterium halotolerans	531813	S	20	13	33	0.00000
Roseibium sp.	1936156	S	32	30	62	0.00000
Stappia sp.	1870903	S	21	25	46	0.00000
Brucella anthropi	529	S	31	167	198	0.00002
Pseudochrobactrum sp. Wa41.01b-1	2864102	S	11	33	44	0.00000
Microvirga sp. 17 mud 1-3	2082949	S	22	16	38	0.00000
Methylobacterium durans	2202825	S	11	16	27	0.00000
Bosea sp. RAC05	1842539	S	34	51	85	0.00001
Hyphomicrobium nitrativorans	1427356	S	14	6	20	0.00000
Rhodoplanes sp. Z2-YC6860	674703	S	12	6	18	0.00000
Cohaesibacter sp. ES.047	1798205	S	19	13	32	0.00000
Methylovirgula sp. 4M-Z18	2293567	S	16	9	25	0.00000
Kaistia sp. 32K	2795690	S	24	26	50	0.00000
Oceaniradius stylonematis	2184161	S	14	25	39	0.00000
Acuticoccus sp.	1904378	S	10	5	15	0.00000
Paracoccus zhejiangensis	1077935	S	24	71	95	0.00001
Amylibacter sp. IMCC11727	3039851	S	19	8	27	0.00000
Frigidibacter mobilis	1335048	S	15	68	83	0.00001
Profundibacter amoris	2171755	S	11	13	24	0.00000
Pikeienuella piscinae	2748098	S	10	13	23	0.00000
Sulfitobacter sp. JB4-11	3238304	S	13	11	24	0.00000
Sulfitobacter sp. THAF37	2587855	S	13	44	57	0.00000
Sulfitobacter mediterraneus	83219	S	14	19	33	0.00000
Celeribacter marinus	1397108	S	35	21	56	0.00000
Leisingera aquaemixtae	1396826	S	11	22	33	0.00000
Antarctobacter heliothermus	74033	S	13	11	24	0.00000
Roseobacter ponti	1891787	S	12	7	19	0.00000
Sphingomonas sp. QA11	2950605	S	14	12	26	0.00000
Sphingomonas sp. SUN039	2937787	S	12	9	21	0.00000
Sphingomonas nostoxanthinifaciens	2872652	S	29	32	61	0.00000
Sphingomonas hankookensis	563996	S	17	45	62	0.00000
Sphingomonas cannabina	2899123	S	17	31	48	0.00000
Sphingomonas psychrotolerans	1327635	S	12	12	24	0.00000
Sphingomonas aerolata	185951	S	11	13	24	0.00000
Novosphingobium sp. ES2-1	2780074	S	19	31	50	0.00000
Novosphingobium sp.	1874826	S	14	14	28	0.00000
Novosphingobium rhizosphaerae	1551649	S	27	34	61	0.00000
Sphingobium sp. RAC03	1843368	S	24	34	58	0.00000
Alterisphingorhabdus coralli	3071408	S	18	8	26	0.00000
Sphingopyxis sp. PET50	2976533	S	13	18	31	0.00000
Thalassospira australica	1528106	S	39	16	55	0.00000
Thalassospira lucentensis	168935	S	16	5	21	0.00000
Magnetospira sp. QH-2	1288970	S	30	10	40	0.00000
Azospirillum sp. HJ39	3159496	S	32	50	82	0.00001
Azospirillum thermophilum	2202148	S	14	16	30	0.00000
Aerophototrophica crusticola	1709002	S	23	29	52	0.00000
Rhodospirillum centenum	34018	S	12	17	29	0.00000
Hwanghaeella sp.	2605943	S	10	4	14	0.00000
Terasakiella sp. SH-1	2560057	S	21	4	25	0.00000
Varunaivibrio sulfuroxidans	1773489	S	21	8	29	0.00000
Caenispirillum salinarum	859058	S	14	14	28	0.00000
Komagataeibacter oboediens	65958	S	65	62	127	0.00001
Commensalibacter melissae	2070537	S	52	5	57	0.00000
Kozakia baliensis	153496	S	43	19	62	0.00000
Gluconobacter cerinus	38307	S	11	14	25	0.00000
Asaia bogorensis	91915	S	11	4	15	0.00000
