name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium wellingii	2929491	S	1912	5472	7384	0.00042
Vescimonas coprocola	2714355	S	104179	28731	132910	0.00761
Vescimonas fastidiosa	2714353	S	4781	1359	6140	0.00035
Flavonifractor plautii	292800	S	88590	9283	97873	0.00560
Ruthenibacterium lactatiformans	1550024	S	73782	6040	79822	0.00457
Lawsonibacter asaccharolyticus	2108523	S	44922	4020	48942	0.00280
Dysosmobacter welbionis	2093857	S	15717	63001	78718	0.00451
Oscillibacter sp. PEA192	2109687	S	6688	29451	36139	0.00207
Oscillibacter hominis	2763056	S	5822	645	6467	0.00037
Pusillibacter faecalis	2714358	S	8577	1056	9633	0.00055
Subdoligranulum variabile	214851	S	2483	1176	3659	0.00021
uncultured Subdoligranulum sp.	512298	S	951	455	1406	0.00008
Pseudoflavonifractor gallinarum	2779352	S	4566	482	5048	0.00029
Owariibacterium komagatae	3136601	S	4390	855	5245	0.00030
Anaerotruncus colihominis	169435	S	3808	478	4286	0.00025
Ruminococcus sp. SR1/5	657323	S	965	3712	4677	0.00027
Ruminococcus sp. JE7B6	3233380	S	129	79	208	0.00001
Ruminococcus sp. JL13D9	3233381	S	21	19	40	0.00000
Ruminococcus champanellensis	1161942	S	422	30	452	0.00003
Ruminococcus callidus	40519	S	161	9	170	0.00001
Ruminococcus gauvreauii	438033	S	126	10	136	0.00001
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	39	4	43	0.00000
Ruminococcus bovis	2564099	S	29	4	33	0.00000
Ruminococcus albus	1264	S	28	0	28	0.00000
Solibaculum mannosilyticum	2780922	S	686	90	776	0.00004
Mageeibacillus indolicus	884684	S	199	21	220	0.00001
Ethanoligenens harbinense	253239	S	78	3	81	0.00000
Amygdalobacter indicium	3029272	S	68	10	78	0.00000
Bengtsoniella intestinalis	3073143	S	19	0	19	0.00000
Thermocaproicibacter melissae	2966552	S	15	0	15	0.00000
Paludihabitans sp. MB14-C6	3070656	S	12	0	12	0.00000
Thermoclostridium stercorarium	1510	S	12	0	12	0.00000
Eubacterium ramulus	39490	S	15319	3629	18948	0.00108
Eubacterium ventriosum	39496	S	2824	436	3260	0.00019
Eubacterium callanderi	53442	S	253	41	294	0.00002
Eubacterium limosum	1736	S	202	15	217	0.00001
Eubacterium sp. MSJ-33	2841528	S	115	23	138	0.00001
Eubacterium maltosivorans	2041044	S	113	7	120	0.00001
Eubacterium sp. F2	3381348	S	21	0	21	0.00000
Anaerofustis stercorihominis	214853	S	57	3	60	0.00000
Pseudoramibacter alactolyticus	113287	S	44	1	45	0.00000
Agathobaculum sp. NTUH-O15-33	3079302	S	8559	185	8744	0.00050
Agathobaculum massiliense	3014267	S	352	1507	1859	0.00011
Butyricicoccus porcorum	1945634	S	228	25	253	0.00001
Butyricicoccus sp. GAM44	2109686	S	48	0	48	0.00000
Intestinibacillus sp. NTUH-41-i26	3079303	S	207	1021	1228	0.00007
Intestinimonas butyriciproducens	1297617	S	7284	637	7921	0.00045
Flintibacter sp. KGMB00164	2610895	S	1115	107	1222	0.00007
Clostridium sp. SY8519	1042156	S	3305	150	3455	0.00020
Clostridium sp. M62/1	411486	S	2348	662	3010	0.00017
Clostridium sp. LQ25	2992805	S	71	344	415	0.00002
Clostridium sp. MD294	97138	S	27	0	27	0.00000
Clostridium sp. C1	1155388	S	14	101	115	0.00001
Clostridium sp. HCS.1	3238594	S	12	1	13	0.00000
[Clostridium] innocuum	1522	S	730	872	1602	0.00009
Clostridium perfringens	1502	S	145	157	302	0.00002
Clostridium cadaveris	1529	S	36	4	40	0.00000
Clostridium kluyveri	1534	S	30	2	32	0.00000
Clostridium cochlearium	1494	S	18	8	26	0.00000
Clostridium acetobutylicum	1488	S	17	0	17	0.00000
Clostridium intestinale	36845	S	11	0	11	0.00000
Lactonifactor longoviformis	341220	S	153	13	166	0.00001
Candidatus Sarcina troglodytae	2726954	S	18	8	26	0.00000
Proteiniclasticum sp. QWL-01	3036945	S	11	0	11	0.00000
Acutalibacter muris	1796620	S	225	7	232	0.00001
Caproicibacter fermentans	2576756	S	93	17	110	0.00001
Caproiciproducens sp. CPB-2	3030017	S	38	7	45	0.00000
uncultured Caproiciproducens sp.	1738647	S	36	3	39	0.00000
Candidatus Formimonas warabiya	1761012	S	183	2	185	0.00001
Desulforamulus ferrireducens	1833852	S	13	1	14	0.00000
Thermanaerosceptrum fracticalcis	1712410	S	16	0	16	0.00000
Desulfotomaculum nigrificans	1565	S	39	4	43	0.00000
Aristaeella hokkaidonensis	3046382	S	17	3	20	0.00000
Aristaeella lactis	3046383	S	14	2	16	0.00000
Heliomicrobium modesticaldum	35701	S	13	0	13	0.00000
Simiaoa sunii	2763672	S	103603	20916	124519	0.00713
Roseburia intestinalis	166486	S	29934	23287	53221	0.00305
Roseburia hominis	301301	S	9654	2642	12296	0.00070
Roseburia faecis	301302	S	7775	2305	10080	0.00058
Roseburia sp. 831b	1261635	S	1207	100	1307	0.00007
Roseburia sp. 499	1261634	S	298	20	318	0.00002
Roseburia rectibacter	2763062	S	1419	442	1861	0.00011
[Clostridium] symbiosum	1512	S	48022	6739	54761	0.00313
Agathobacter rectalis	39491	S	47063	19186	66249	0.00379
Dorea longicatena	88431	S	29980	11852	41832	0.00239
Dorea formicigenerans	39486	S	13104	5503	18607	0.00107
Mediterraneibacter gnavus	33038	S	18529	5583	24112	0.00138
[Ruminococcus] torques	33039	S	11517	5430	16947	0.00097
[Ruminococcus] lactaris	46228	S	3634	742	4376	0.00025
Mediterraneibacter glycyrrhizinilyticus	342942	S	1758	458	2216	0.00013
Enterocloster bolteae	208479	S	10090	1756	11846	0.00068
Enterocloster asparagiformis	333367	S	7336	1494	8830	0.00051
Enterocloster lavalensis	460384	S	4369	1387	5756	0.00033
Enterocloster clostridioformis	1531	S	2316	659	2975	0.00017
Coprococcus comes	410072	S	13612	35702	49314	0.00282
Coprococcus catus	116085	S	9986	2836	12822	0.00073
Coprococcus eutactus	33043	S	699	316	1015	0.00006
Coprococcus sp. ART55/1	751585	S	281	132	413	0.00002
Blautia wexlerae	418240	S	9450	6599	16049	0.00092
Blautia obeum	40520	S	5481	3249	8730	0.00050
Blautia producta	33035	S	921	110	1031	0.00006
Blautia hansenii	1322	S	875	372	1247	0.00007
Blautia luti	89014	S	785	229	1014	0.00006
Blautia liquoris	2779518	S	492	21	513	0.00003
Blautia sp. SC05B48	2479767	S	430	678	1108	0.00006
Blautia hydrogenotrophica	53443	S	284	14	298	0.00002
Blautia argi	1912897	S	188	57	245	0.00001
Blautia parvula	2877527	S	148	26	174	0.00001
Blautia pseudococcoides	1796616	S	125	6	131	0.00001
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	41	162752	162793	0.00932
Hungatella sp. SB206	2937758	S	9211	2639	11850	0.00068
Hungatella hathewayi	154046	S	981	185	1166	0.00007
Sellimonas catena	2994035	S	4014	1130	5144	0.00029
Sellimonas intestinalis	1653434	S	383	33	416	0.00002
Sellimonas caecigallum	2592333	S	88	6	94	0.00001
[Clostridium] scindens	29347	S	3262	460	3722	0.00021
[Clostridium] hylemonae	89153	S	347	34	381	0.00002
Lachnoclostridium phytofermentans	66219	S	83	2	85	0.00000
Eshraghiella crossota	45851	S	2098	433	2531	0.00014
Lachnospira eligens	39485	S	2059	243	2302	0.00013
Anaerostipes hadrus	649756	S	1596	364	1960	0.00011
Anaerostipes rhamnosivorans	1229621	S	66	6	72	0.00000
Anaerostipes caccae	105841	S	64	14	78	0.00000
Anaerostipes sp. PC18	3036926	S	56	11	67	0.00000
Eisenbergiella porci	2652274	S	1736	213	1949	0.00011
Anaerobutyricum hallii	39488	S	568	910	1478	0.00008
Chordicoccus furentiruminis	2709410	S	1153	33	1186	0.00007
Lacrimispora sp. HJ-01	3375704	S	378	90	468	0.00003
Lacrimispora sp. BS-2	3151850	S	39	5	44	0.00000
Lacrimispora saccharolytica	84030	S	329	46	375	0.00002
Lacrimispora xylanisolvens	384636	S	99	4	103	0.00001
Lacrimispora xylanolytica	29375	S	93	4	97	0.00001
Lacrimispora sinapis	3111456	S	92	6	98	0.00001
Lacrimispora sphenoides	29370	S	17	3	20	0.00000
Butyrivibrio fibrisolvens	831	S	239	13	252	0.00001
Butyrivibrio sp. JL13D10	3236815	S	89	7	96	0.00001
Butyrivibrio hungatei	185008	S	79	6	85	0.00000
Butyrivibrio proteoclasticus	43305	S	59	5	64	0.00000
Claveliimonas bilis	3028070	S	395	42	437	0.00003
Anaerocolumna sp. AGMB13020	3081750	S	80	5	85	0.00000
Anaerocolumna sp. MB42-C2	3070997	S	41	12	53	0.00000
Anaerocolumna sp. AGMB13025	3039116	S	38	2	40	0.00000
Anaerocolumna sedimenticola	2696063	S	36	14	50	0.00000
Anaerocolumna chitinilytica	1727145	S	29	1	30	0.00000
Anaerocolumna cellulosilytica	433286	S	13	0	13	0.00000
Marvinbryantia formatexigens	168384	S	262	22	284	0.00002
Faecalimonas umbilicata	1912855	S	250	84	334	0.00002
Kineothrix sedimenti	3123317	S	138	5	143	0.00001
Kineothrix sp. MB12-C1	3070215	S	97	3	100	0.00001
Wansuia hejianensis	2763667	S	231	14	245	0.00001
Wujia chipingensis	2763670	S	201	60	261	0.00001
Pseudobutyrivibrio xylanivorans	185007	S	170	6	176	0.00001
Qiania dongpingensis	2763669	S	100	8	108	0.00001
Hominifimenecus sp. rT4P-3	3242979	S	95	1	96	0.00001
Lachnoanaerobaculum gingivalis	2490855	S	22	57	79	0.00000
Novisyntrophococcus fermenticellae	2068655	S	72	4	76	0.00000
Herbinix luporum	1679721	S	54	4	58	0.00000
Stomatobaculum sp. F0698	3059030	S	43	1	44	0.00000
Chakrabartyella piscis	2918914	S	29	0	29	0.00000
Anaeropeptidivorans aminofermentans	2934315	S	22	0	22	0.00000
Cellulosilyticum sp. WCF-2	2497860	S	270	71	341	0.00002
Vallitalea pronyensis	1348613	S	28	0	28	0.00000
Vallitalea guaymasensis	1185412	S	13	0	13	0.00000
Anaerotignum sp. MB30-C6	3070814	S	19	1	20	0.00000
Clostridioides difficile	1496	S	1357	452	1809	0.00010
Intestinibacter bartlettii	261299	S	51	4	55	0.00000
Peptostreptococcus anaerobius	1261	S	20	5	25	0.00000
Paraclostridium dentum	2662455	S	20	2	22	0.00000
Ihubacter sp. rT4E-8	3242369	S	105	10	115	0.00001
Emergencia sp. JLR.KK010	3114296	S	68	6	74	0.00000
Anoxybacterium hadale	3408580	S	12	0	12	0.00000
Alkaliphilus metalliredigens	208226	S	16	0	16	0.00000
Filifactor alocis	143361	S	11	2	13	0.00000
Christensenella minuta	626937	S	293	13	306	0.00002
